conv_parameters,occurrences,models
1 256 14 14 256 14 14 3 3 1 1 1 1 1 1 1 1 1 0 0,1006,resnet101c resnetblur50 dla60 resnet34d resnet50_clip ecaresnet50d seresnet34 tresnet_m vit_base_resnet50d_224 resnetaa50 resnetv2_50t resnetaa34d resnetblur18 skresnet34 vit_base_r50_s16_224 legacy_seresnet101 resnet152 vit_small_r26_s32_224 ecaresnetlight seresnet50t resnet50d resnet26 vit_large_r50_s32_224 resnetv2_34d legacy_seresnet34 resnetv2_34 vit_base_resnet26d_224 vit_small_resnet26d_224 resnet152s resnetv2_101 resnetblur50d vit_small_resnet50d_s16_224 resnet50_gn resnetblur101d resnet152c resnetaa50d resnet200 seresnet101 resnet26d ecaresnet101d resnetv2_50d_evos resnet101 resnetaa101d resnetv2_101d resnet50 seresnet152 resnet18 resnet101s seresnet18 resnetv2_152d resnetv2_50d dla169 resnetv2_50d_frn tresnet_v2_l resnetv2_18d legacy_seresnet152 resnet50s resnetv2_50x1_bit resnetv2_152 resnet101_clip_gap repvgg_a1 resnet50c dla34 resnet50_clip_gap resnetv2_50d_gn resnet34 seresnetaa50d seresnet50 resnetv2_18 hgnet_base skresnet18 resnetv2_50 repvgg_b0 legacy_seresnet50 resnet50t resnet101_clip dla102 hrnet_w64 vit_base_r26_s32_224 resnet18d legacy_seresnet18
1 256 14 14 1024 14 14 1 1 0 0 0 0 1 1 1 1 1 0 0,822,resnet50 resnet101c resnetblur50 seresnet50t resnet50_clip_gap resnet50d resnetv2_50d_gn seresnet152 skresnet50d resnet26 vit_large_r50_s32_224 seresnetaa50d resnet101s seresnet50 resnet50_clip resnetv2_152d vit_base_resnet26d_224 resnetv2_50d ecaresnet50d vit_small_resnet26d_224 resnest14d resnetv2_50 resnet152s resnetv2_101 resnetblur50d tresnet_m vit_base_resnet50d_224 legacy_seresnet50 resnetaa50 vit_small_resnet50d_s16_224 resnetv2_50t maxvit_tiny_rw_224 resnet50_gn resnet50t resnet101_clip resnetv2_50d_frn tresnet_v2_l resnetv2_101d vit_base_r50_s16_224 resnetblur101d legacy_seresnet152 resnet152c resnet50s legacy_seresnet101 resnetaa50d resnest50d resnet152 resnet200 resnetv2_50x1_bit resnetv2_152 seresnet101 resnet26d skresnet50 vit_small_r26_s32_224 ecaresnet101d resnest26d maxvit_tiny_tf_224 resnetv2_50d_evos resnet101 resnet101_clip_gap vit_base_r26_s32_224 ecaresnetlight resnetaa101d resnet50c
1 1024 14 14 256 14 14 1 1 0 0 0 0 1 1 1 1 1 0 0,779,resnet50 resnet101c resnetblur50 seresnet50t resnet50_clip_gap resnet50d resnetv2_50d_gn seresnet152 skresnet50d resnet26 vit_large_r50_s32_224 seresnetaa50d resnet101s seresnet50 resnet50_clip resnetv2_152d vit_base_resnet26d_224 resnetv2_50d ecaresnet50d vit_small_resnet26d_224 efficientvit_l2 resnetv2_50 resnet152s resnetv2_101 resnetblur50d tresnet_m vit_base_resnet50d_224 legacy_seresnet50 resnetaa50 vit_small_resnet50d_s16_224 hgnetv2_b5 maxvit_tiny_rw_224 resnet50_gn resnet50t resnet101_clip resnetv2_50d_frn resnetv2_50t tresnet_v2_l resnetv2_101d vit_base_r50_s16_224 resnetblur101d legacy_seresnet152 resnet152c resnet50s legacy_seresnet101 resnetaa50d resnest50d resnet152 resnet200 resnetv2_50x1_bit resnetv2_152 seresnet101 resnet26d skresnet50 vit_small_r26_s32_224 ecaresnet101d resnest26d resnetv2_50d_evos resnet101 resnet101_clip_gap vit_base_r26_s32_224 efficientvit_l1 ecaresnetlight resnetaa101d resnet50c efficientvit_b3
1 1024 1 1 64 1 1 1 1 0 0 0 0 1 1 1 1 1 0 1,644,coatnet_5_224 seresnet50t seresnet152 maxvit_large_tf_512 fastvit_sa36 seresnetaa50d nf_seresnet50 legacy_seresnext26_32x4d seresnet50 maxvit_rmlp_pico_rw_256 fastvit_t12 seresnextaa101d_32x8d fastvit_sa24 maxvit_rmlp_tiny_rw_256 seresnet269d seresnext101_32x4d fastvit_mci1 nf_seresnet101 seresnext26d_32x4d seresnext101_32x8d maxvit_nano_rw_256 regnetz_005 legacy_senet154 legacy_seresnet50 seresnet200d legacy_seresnext50_32x4d maxvit_tiny_rw_256 nf_seresnet26 maxvit_tiny_rw_224 maxvit_tiny_tf_384 fastvit_mci0 maxvit_pico_rw_256 seresnext50_32x4d maxvit_tiny_tf_512 senet154 legacy_seresnet152 legacy_seresnet101 maxvit_tiny_pm_256 seresnext26t_32x4d seresnext101_64x4d seresnet101 seresnet152d legacy_seresnext101_32x4d maxvit_tiny_tf_224 maxvit_large_tf_384 seresnextaa201d_32x8d maxvit_rmlp_nano_rw_256 coatnet_2_224 maxvit_large_tf_224 fastvit_s12 fastvit_sa12 seresnext101d_32x8d
1 64 1 1 1024 1 1 1 1 0 0 0 0 1 1 1 1 1 0 1,644,coatnet_5_224 seresnet50t seresnet152 maxvit_large_tf_512 fastvit_sa36 seresnetaa50d nf_seresnet50 legacy_seresnext26_32x4d seresnet50 maxvit_rmlp_pico_rw_256 fastvit_t12 seresnextaa101d_32x8d fastvit_sa24 maxvit_rmlp_tiny_rw_256 seresnet269d seresnext101_32x4d fastvit_mci1 nf_seresnet101 seresnext26d_32x4d seresnext101_32x8d maxvit_nano_rw_256 regnetz_005 legacy_senet154 legacy_seresnet50 seresnet200d legacy_seresnext50_32x4d maxvit_tiny_rw_256 nf_seresnet26 maxvit_tiny_rw_224 maxvit_tiny_tf_384 fastvit_mci0 maxvit_pico_rw_256 seresnext50_32x4d maxvit_tiny_tf_512 senet154 legacy_seresnet152 legacy_seresnet101 maxvit_tiny_pm_256 seresnext26t_32x4d seresnext101_64x4d seresnet101 seresnet152d legacy_seresnext101_32x4d maxvit_tiny_tf_224 maxvit_large_tf_384 seresnextaa201d_32x8d maxvit_rmlp_nano_rw_256 coatnet_2_224 maxvit_large_tf_224 fastvit_s12 fastvit_sa12 seresnext101d_32x8d
1 768 1 1 1536 1 1 1 1 0 0 0 0 1 1 1 1 1 0 1,576,dm_nfnet_f2 nfnet_f5 dm_nfnet_f0 nfnet_f3 nfnet_f6 dm_nfnet_f3 dm_nfnet_f4 nfnet_f1 nfnet_f4 dm_nfnet_f5 nfnet_f0 dm_nfnet_f6 nfnet_f7 dm_nfnet_f1 nfnet_f2
1 1536 1 1 768 1 1 1 1 0 0 0 0 1 1 1 1 1 0 1,576,dm_nfnet_f2 nfnet_f5 dm_nfnet_f0 nfnet_f3 nfnet_f6 dm_nfnet_f3 dm_nfnet_f4 nfnet_f1 nfnet_f4 dm_nfnet_f5 nfnet_f0 dm_nfnet_f6 nfnet_f7 dm_nfnet_f1 nfnet_f2
1 256 16 16 1024 16 16 1 1 0 0 0 0 1 1 1 1 1 0 0,549,resnetrs152 sehalonet33ts ecaresnet200d bat_resnext26ts lambda_resnet26rpt_256 botnet50ts_256 cspresnet50d sebotnet33ts_256 cspresnet50 resnetrs270 halo2botnet50ts_256 maxvit_rmlp_tiny_rw_256 seresnet269d gcresnet50t regnetz_d32 resnet26t lambda_resnet50ts resnet50_mlp resnetrs200 maxvit_nano_rw_256 eca_resnext26ts lambda_resnet26t seresnet200d eca_botnext26ts_256 resnet200d lamhalobotnet50ts_256 maxvit_tiny_rw_256 resnet152d botnet26t_256 seresnext26ts regnetz_d8 halonet50ts regnetz_d8_evos resnet101d ecaresnet50t maxvit_tiny_pm_256 eca_halonext26ts gcresnext26ts halonet26t resnest101e resnext26ts seresnet152d maxvit_rmlp_nano_rw_256 ecaresnet26t gcresnext50ts
1 1024 16 16 256 16 16 1 1 0 0 0 0 1 1 1 1 1 0 0,504,resnetrs152 sehalonet33ts ecaresnet200d bat_resnext26ts lambda_resnet26rpt_256 botnet50ts_256 sebotnet33ts_256 resnetrs270 halo2botnet50ts_256 maxvit_rmlp_tiny_rw_256 seresnet269d gcresnet50t regnetz_d32 resnet26t lambda_resnet50ts resnet50_mlp resnetrs200 maxvit_nano_rw_256 eca_resnext26ts lambda_resnet26t seresnet200d eca_botnext26ts_256 resnet200d lamhalobotnet50ts_256 maxvit_tiny_rw_256 resnet152d botnet26t_256 seresnext26ts regnetz_d8 halonet50ts regnetz_d8_evos resnet101d ecaresnet50t maxvit_tiny_pm_256 eca_halonext26ts gcresnext26ts halonet26t resnest101e resnext26ts seresnet152d maxvit_rmlp_nano_rw_256 ecaresnet26t gcresnext50ts
1 256 16 16 256 16 16 3 3 1 1 1 1 1 1 1 1 1 0 0,440,resnetrs152 sehalonet33ts ecaresnet200d botnet50ts_256 cspresnet50d sebotnet33ts_256 cs3sedarknet_l cspresnet50 resnetrs270 halo2botnet50ts_256 seresnet269d gcresnet50t resnet26t lambda_resnet50ts resnet50_mlp resnetrs200 cs3darknet_l seresnet200d resnet200d lamhalobotnet50ts_256 resnet152d halonet50ts cspdarknet53 resnet101d ecaresnet50t cs3darknet_focus_l seresnet152d ecaresnet26t
