conv_parameters,occurences,models
1 3 256 256 24 128 128 3 3 1 1 1 1 2 2 1 1 1 False False,37,mobilenetv4_hybrid_large_075 botnet26t_256 gcresnext26ts ecaresnet26t bat_resnext26ts regnetz_e8 resnext26ts lambda_resnet26rpt_256 resnet26t eca_resnet33ts cs3darknet_m regnetz_d32 lambda_resnet26t gcresnet33ts mobilenetv3_large_150d seresnext26ts eca_botnext26ts_256 eca_resnext26ts lamhalobotnet50ts_256 gcresnet50t ecaresnet50t halo2botnet50ts_256 lambda_resnet50ts halonet26t maxvit_rmlp_pico_rw_256 regnetz_d8 sehalonet33ts resnet32ts eca_halonext26ts halonet50ts maxvit_pico_rw_256 resnet33ts seresnet33ts mobilevitv2_075 botnet50ts_256 gcresnext50ts sebotnet33ts_256
1 24 128 128 32 128 128 3 3 1 1 1 1 1 1 1 1 1 False False,33,botnet26t_256 gcresnext26ts ecaresnet26t bat_resnext26ts regnetz_e8 resnext26ts lambda_resnet26rpt_256 resnet26t eca_resnet33ts regnetz_d32 lambda_resnet26t gcresnet33ts seresnext26ts eca_botnext26ts_256 eca_resnext26ts lamhalobotnet50ts_256 gcresnet50t ecaresnet50t halo2botnet50ts_256 lambda_resnet50ts halonet26t maxvit_rmlp_pico_rw_256 regnetz_d8 sehalonet33ts resnet32ts eca_halonext26ts halonet50ts maxvit_pico_rw_256 resnet33ts seresnet33ts botnet50ts_256 gcresnext50ts sebotnet33ts_256
1 32 128 128 64 128 128 3 3 1 1 1 1 1 1 1 1 1 False False,50,botnet26t_256 gcresnext26ts maxvit_rmlp_tiny_rw_256 resnet61q ecaresnet26t resnet51q cs3darknet_l bat_resnext26ts resnetrs152 darknet53 resnet50_mlp maxvit_tiny_pm_256 seresnet269d seresnet152d resnext26ts maxxvit_rmlp_nano_rw_256 resnetrs200 lambda_resnet26rpt_256 resnet26t darknet17 lambda_resnet26t sedarknet21 darknetaa53 resnet200d resnet101d resnetrs270 seresnext26ts eca_botnext26ts_256 eca_resnext26ts cspresnet50d ecaresnet50t darknet21 maxvit_nano_rw_256 maxvit_rmlp_small_rw_256 lambda_resnet50ts halonet26t resnet152d cspdarknet53 seresnet200d maxxvit_rmlp_tiny_rw_256 maxvit_tiny_rw_256 eca_halonext26ts cs3sedarknet_xdw halonet50ts maxvit_rmlp_nano_rw_256 cspresnet50w cs3sedarknet_l ecaresnet200d botnet50ts_256 gcresnext50ts
1 64 64 64 64 64 64 1 1 0 0 0 0 1 1 1 1 1 False False,70,botnet26t_256 fastvit_sa36 gcresnext26ts cs3darknet_focus_s ecaresnet26t cs3darknet_l bat_resnext26ts resnetrs152 resnet50_mlp fastvit_mci1 seresnet269d seresnet152d resnext26ts resnetrs200 lambda_resnet26rpt_256 resnet26t cs3darknet_s eca_resnet33ts lambda_resnet26t fastvit_t12 fastvit_sa12 gcresnet33ts resnet200d resnet101d resnetrs270 seresnext26ts eca_botnext26ts_256 fastvit_sa24 eca_resnext26ts lamhalobotnet50ts_256 fastvit_s12 gcresnet50t ecaresnet50t halo2botnet50ts_256 cs3darknet_focus_l halonet26t lambda_resnet50ts resnet152d cspdarknet53 seresnet200d sehalonet33ts fastvit_mci0 resnet32ts eca_halonext26ts halonet50ts halonet_h1 mobilevitv2_050 cs3sedarknet_l resnet33ts seresnet33ts ecaresnet200d botnet50ts_256 gcresnext50ts sebotnet33ts_256
1 64 64 64 64 64 64 3 3 1 1 1 1 1 1 1 1 2 False False,15,seresnext26ts gcresnext26ts eca_resnext26ts resnext26ts bat_resnext26ts resnet51q gcresnext50ts
1 64 64 64 16 64 64 1 1 0 0 0 0 1 1 1 1 1 False False,2,bat_resnext26ts
1 16 64 64 2 64 64 1 1 0 0 0 0 1 1 1 1 1 False False,2,bat_resnext26ts
1 2 8 1 128 1 1 8 1 0 0 0 0 1 1 1 1 1 False True,8,bat_resnext26ts
1 2 1 8 128 1 1 1 8 0 0 0 0 1 1 1 1 1 False True,8,bat_resnext26ts
1 16 64 64 16 64 64 1 1 0 0 0 0 1 1 1 1 1 False False,2,bat_resnext26ts
