ID,Image batch,Image channel,Image height,Image width,Output depth,Output height,Output width,Filter height,Filter width,Padding top,Padding bottom,Padding left,Padding right,Stride height,Stride width,Dilation height,Dilation width,Grouped
0,1,3,256,256,24,128,128,3,3,1,1,1,1,2,2,1,1,1
1,1,24,128,128,32,128,128,3,3,1,1,1,1,1,1,1,1,1
2,1,32,128,128,64,128,128,3,3,1,1,1,1,1,1,1,1,1
3,1,3,224,224,768,14,14,16,16,0,0,0,0,16,16,1,1,1
4,1,3,384,384,768,24,24,16,16,0,0,0,0,16,16,1,1,1
5,1,3,224,224,1024,14,14,16,16,0,0,0,0,16,16,1,1,1
6,1,3,384,384,1024,24,24,16,16,0,0,0,0,16,16,1,1,1
7,1,3,512,512,1024,32,32,16,16,0,0,0,0,16,16,1,1,1
8,1,64,64,64,64,64,64,3,3,1,1,1,1,1,1,1,1,1
9,1,128,64,64,128,32,32,3,3,1,1,1,1,2,2,1,1,1
10,1,128,32,32,128,32,32,3,3,1,1,1,1,1,1,1,1,1
11,1,256,32,32,256,16,16,3,3,1,1,1,1,2,2,1,1,1
12,1,256,16,16,256,16,16,3,3,1,1,1,1,1,1,1,1,1
13,1,512,16,16,512,8,8,3,3,1,1,1,1,2,2,1,1,1
14,1,512,8,8,512,8,8,3,3,1,1,1,1,1,1,1,1,1
15,1,3,224,224,128,56,56,7,7,2,2,2,2,4,4,1,1,1
16,1,128,56,56,256,28,28,3,3,1,1,1,1,2,2,1,1,1
17,1,256,28,28,512,14,14,3,3,1,1,1,1,2,2,1,1,1
18,1,512,14,14,768,7,7,3,3,1,1,1,1,2,2,1,1,1
19,1,3,224,224,96,56,56,7,7,2,2,2,2,4,4,1,1,1
20,1,96,56,56,192,28,28,3,3,1,1,1,1,2,2,1,1,1
21,1,192,28,28,384,14,14,3,3,1,1,1,1,2,2,1,1,1
22,1,384,14,14,576,7,7,3,3,1,1,1,1,2,2,1,1,1
23,1,3,224,224,64,56,56,7,7,2,2,2,2,4,4,1,1,1
24,1,64,56,56,128,28,28,3,3,1,1,1,1,2,2,1,1,1
25,1,128,28,28,320,14,14,3,3,1,1,1,1,2,2,1,1,1
26,1,320,14,14,512,7,7,3,3,1,1,1,1,2,2,1,1,1
27,1,3,448,448,768,28,28,16,16,0,0,0,0,16,16,1,1,1
28,1,3,224,224,384,14,14,16,16,0,0,0,0,16,16,1,1,1
29,1,3,384,384,384,24,24,16,16,0,0,0,0,16,16,1,1,1
30,1,3,384,384,288,24,24,16,16,0,0,0,0,16,16,1,1,1
31,1,3,224,224,192,14,14,16,16,0,0,0,0,16,16,1,1,1
32,1,3,384,384,192,24,24,16,16,0,0,0,0,16,16,1,1,1
33,1,3,224,224,128,56,56,4,4,0,0,0,0,4,4,1,1,1
34,1,128,56,56,256,28,28,2,2,0,0,0,0,2,2,1,1,1
