conv_parameters,occurrences,models
1 256 14 14 256 3 3 1 1 1 1 1 1 1 1 1 0 0,1006,ecaresnetlight resnetv2_50d legacy_seresnet34 resnetv2_101 resnet26d resnet50 vit_base_r50_s16_224 vit_small_resnet26d_224 seresnet34 resnet50t resnetv2_18d resnetv2_34d vit_large_r50_s32_224 vit_small_r26_s32_224 ecaresnet50d resnetv2_50d_frn dla34 legacy_seresnet152 resnet101 resnetblur101d resnet101s resnetblur18 vit_base_r26_s32_224 legacy_seresnet18 seresnetaa50d hgnet_base dla102 resnetblur50 resnetv2_101d vit_base_resnet26d_224 resnet152c seresnet50 resnet50c repvgg_a1 resnet200 skresnet18 vit_small_resnet50d_s16_224 vit_base_resnet50d_224 resnet50_clip skresnet34 resnet18 resnetv2_152d resnetaa50d resnetv2_50 resnet34d resnet34 hrnet_w64 dla60 resnet152s resnetv2_50d_evos seresnet18 resnetaa101d resnet101_clip_gap seresnet101 tresnet_m resnetv2_50x1_bit seresnet50t legacy_seresnet101 resnet101c resnetv2_152 seresnet152 resnet152 resnet50_clip_gap repvgg_b0 resnet50d resnetblur50d resnetv2_50t resnet50_gn resnet101_clip resnetaa34d tresnet_v2_l ecaresnet101d resnet18d dla169 resnet50s resnetaa50 resnetv2_34 resnetv2_18 legacy_seresnet50 resnetv2_50d_gn resnet26
1 256 14 14 1024 1 1 0 0 0 0 1 1 1 1 1 0 0,822,resnest14d resnetaa50d resnet101c ecaresnetlight resnetv2_50 skresnet50 resnetv2_50d seresnetaa50d resnetblur50 resnetv2_101 resnet26d resnetv2_152 resnetv2_101d seresnet152 vit_base_r50_s16_224 resnet152 resnet50_clip_gap vit_small_resnet26d_224 resnet50d resnetblur50d resnet50t maxvit_tiny_rw_224 resnest50d resnet50_gn resnetv2_50t vit_large_r50_s32_224 vit_small_r26_s32_224 resnetv2_50d_gn ecaresnet50d maxvit_tiny_tf_224 vit_base_resnet26d_224 resnet152c resnetv2_50d_frn resnet152s seresnet50 resnet50c resnet101_clip resnetv2_50d_evos tresnet_v2_l resnet200 vit_small_resnet50d_s16_224 legacy_seresnet152 resnet101 resnetblur101d ecaresnet101d vit_base_resnet50d_224 resnet101s resnet50s resnetaa101d resnet50_clip resnet101_clip_gap seresnet50t seresnet101 resnetaa50 tresnet_m resnetv2_50x1_bit legacy_seresnet50 skresnet50d vit_base_r26_s32_224 resnet50 resnest26d resnetv2_152d legacy_seresnet101 resnet26
1 1024 14 14 256 1 1 0 0 0 0 1 1 1 1 1 0 0,779,resnetaa50d hgnetv2_b5 ecaresnetlight resnet101c resnetv2_50 resnetv2_50d seresnetaa50d skresnet50 resnetblur50 resnetv2_101 resnet26d resnetv2_152 resnetv2_101d seresnet152 vit_base_r50_s16_224 resnet152 resnet50_clip_gap vit_small_resnet26d_224 resnet50d resnetblur50d resnet50t maxvit_tiny_rw_224 resnest50d resnet50_gn resnetv2_50t vit_large_r50_s32_224 vit_small_r26_s32_224 resnetv2_50d_gn ecaresnet50d vit_base_resnet26d_224 resnet152c resnetv2_50d_frn resnet152s efficientvit_l1 resnet50c resnet101_clip resnetv2_50d_evos seresnet50 tresnet_v2_l resnet200 vit_small_resnet50d_s16_224 legacy_seresnet152 resnet101 resnetblur101d ecaresnet101d efficientvit_b3 vit_base_resnet50d_224 resnet101s resnet50s resnetaa101d resnet50_clip resnet101_clip_gap seresnet50t seresnet101 resnetaa50 tresnet_m resnetv2_50x1_bit legacy_seresnet50 skresnet50d vit_base_r26_s32_224 resnet50 resnest26d resnetv2_152d legacy_seresnet101 resnet26 efficientvit_l2
1 1024 1 1 64 1 1 0 0 0 0 1 1 1 1 1 0 1,644,nf_seresnet101 maxvit_rmlp_nano_rw_256 nf_seresnet26 legacy_seresnext26_32x4d nf_seresnet50 legacy_senet154 fastvit_sa36 seresnext101_32x4d seresnet152 legacy_seresnext50_32x4d coatnet_5_224 coatnet_2_224 maxvit_tiny_tf_512 seresnext50_32x4d seresnet152d maxvit_tiny_rw_224 maxvit_tiny_pm_256 seresnext101_32x8d maxvit_large_tf_384 maxvit_tiny_tf_224 seresnet269d fastvit_sa24 fastvit_t12 seresnet50 seresnext101d_32x8d fastvit_s12 maxvit_pico_rw_256 regnetz_005 legacy_seresnet152 seresnextaa201d_32x8d fastvit_mci0 senet154 seresnextaa101d_32x8d maxvit_large_tf_224 legacy_seresnext101_32x4d fastvit_sa12 fastvit_mci1 maxvit_tiny_tf_384 maxvit_tiny_rw_256 seresnext26t_32x4d seresnet200d maxvit_large_tf_512 seresnet101 seresnext101_64x4d maxvit_rmlp_tiny_rw_256 legacy_seresnet50 maxvit_nano_rw_256 maxvit_rmlp_pico_rw_256 seresnet50t seresnetaa50d legacy_seresnet101 seresnext26d_32x4d
1 64 1 1 1024 1 1 0 0 0 0 1 1 1 1 1 0 1,644,nf_seresnet101 maxvit_rmlp_nano_rw_256 nf_seresnet26 legacy_seresnext26_32x4d nf_seresnet50 legacy_senet154 fastvit_sa36 seresnext101_32x4d seresnet152 legacy_seresnext50_32x4d coatnet_5_224 coatnet_2_224 maxvit_tiny_tf_512 seresnext50_32x4d seresnet152d maxvit_tiny_rw_224 maxvit_tiny_pm_256 seresnext101_32x8d maxvit_large_tf_384 maxvit_tiny_tf_224 seresnet269d fastvit_sa24 fastvit_t12 seresnet50 seresnext101d_32x8d fastvit_s12 maxvit_pico_rw_256 regnetz_005 legacy_seresnet152 seresnextaa201d_32x8d fastvit_mci0 senet154 seresnextaa101d_32x8d maxvit_large_tf_224 legacy_seresnext101_32x4d fastvit_sa12 fastvit_mci1 maxvit_tiny_tf_384 maxvit_tiny_rw_256 seresnext26t_32x4d seresnet200d maxvit_large_tf_512 seresnet101 seresnext101_64x4d maxvit_rmlp_tiny_rw_256 legacy_seresnet50 maxvit_nano_rw_256 maxvit_rmlp_pico_rw_256 seresnet50t seresnetaa50d legacy_seresnet101 seresnext26d_32x4d
1 768 1 1 1536 1 1 0 0 0 0 1 1 1 1 1 0 1,576,dm_nfnet_f4 nfnet_f1 nfnet_f5 nfnet_f7 nfnet_f3 dm_nfnet_f6 dm_nfnet_f0 nfnet_f2 nfnet_f6 dm_nfnet_f3 nfnet_f0 dm_nfnet_f2 nfnet_f4 dm_nfnet_f5 dm_nfnet_f1
1 1536 1 1 768 1 1 0 0 0 0 1 1 1 1 1 0 1,576,dm_nfnet_f4 nfnet_f1 nfnet_f5 nfnet_f7 nfnet_f3 dm_nfnet_f6 dm_nfnet_f0 nfnet_f2 nfnet_f6 dm_nfnet_f3 nfnet_f0 dm_nfnet_f2 nfnet_f4 dm_nfnet_f5 dm_nfnet_f1
1 256 16 16 1024 1 1 0 0 0 0 1 1 1 1 1 0 0,549,eca_halonext26ts maxvit_rmlp_nano_rw_256 resnet152d resnest101e gcresnext26ts eca_botnext26ts_256 resnetrs270 resnet26t seresnext26ts botnet26t_256 regnetz_d32 seresnet152d regnetz_d8 sehalonet33ts ecaresnet50t maxvit_tiny_pm_256 regnetz_d8_evos bat_resnext26ts lamhalobotnet50ts_256 resnet101d lambda_resnet26t seresnet269d resnetrs152 lambda_resnet50ts ecaresnet200d resnet200d resnet50_mlp botnet50ts_256 resnext26ts halonet50ts halo2botnet50ts_256 sebotnet33ts_256 halonet26t lambda_resnet26rpt_256 maxvit_tiny_rw_256 seresnet200d gcresnext50ts eca_resnext26ts ecaresnet26t maxvit_rmlp_tiny_rw_256 maxvit_nano_rw_256 gcresnet50t cspresnet50 resnetrs200 cspresnet50d
1 1024 16 16 256 1 1 0 0 0 0 1 1 1 1 1 0 0,504,eca_halonext26ts maxvit_rmlp_nano_rw_256 resnet152d resnest101e gcresnext26ts eca_botnext26ts_256 resnetrs270 resnet26t seresnext26ts botnet26t_256 regnetz_d32 seresnet152d regnetz_d8 sehalonet33ts ecaresnet50t maxvit_tiny_pm_256 regnetz_d8_evos bat_resnext26ts lamhalobotnet50ts_256 resnet101d lambda_resnet26t seresnet269d resnetrs152 lambda_resnet50ts ecaresnet200d resnet200d resnet50_mlp botnet50ts_256 resnext26ts halonet50ts halo2botnet50ts_256 sebotnet33ts_256 halonet26t lambda_resnet26rpt_256 maxvit_tiny_rw_256 seresnet200d gcresnext50ts eca_resnext26ts ecaresnet26t maxvit_rmlp_tiny_rw_256 maxvit_nano_rw_256 gcresnet50t resnetrs200
1 256 16 16 256 3 3 1 1 1 1 1 1 1 1 1 0 0,440,resnet152d cspdarknet53 resnetrs270 cs3darknet_l resnet26t cs3sedarknet_l seresnet152d sehalonet33ts ecaresnet50t resnet101d lamhalobotnet50ts_256 seresnet269d resnetrs152 lambda_resnet50ts ecaresnet200d cs3darknet_focus_l resnet200d resnet50_mlp botnet50ts_256 halonet50ts halo2botnet50ts_256 sebotnet33ts_256 seresnet200d ecaresnet26t gcresnet50t cspresnet50 resnetrs200 cspresnet50d
