conv_parameters,occurrences,models
1 256 14 14 256 3 3 1 1 1 1 1 1 1 1 1 0 0,1066,resnetblur50 resnet50s vit_base_resnet50d_224 hgnet_base resnetv2_34d seresnet50 legacy_seresnet18 legacy_seresnet50 resnet101 resnet152 seresnet152 resnetblur18 seresnet34 resnetaa101d resnet50d resnet101_clip legacy_seresnet34 resnetv2_50d_frn vit_small_resnet26d_224 resnet50 legacy_seresnet152 seresnet50t legacy_seresnet101 resnet101s resnetv2_50d_evos seresnet101 seresnetaa50d resnet152s resnetv2_50d_gn hrnet_w64 resnetv2_18d dla34 resnet26 vit_base_resnet26d_224 repvgg_b0 ecaresnet50d resnetv2_152 resnetaa50 ecaresnetlight skresnet18 tresnet_m tresnet_v2_l resnet200 dla102 resnet34 resnetv2_50t resnetaa50d resnet34d vit_small_resnet50d_s16_224 resnet26d resnetv2_101 resnetblur50d resnet18 resnetblur101d resnetv2_101d resnetv2_18 resnetv2_50d resnet101c resnetv2_34 seresnet18 resnetv2_50 repvgg_a1 resnetaa34d resnet50_clip_gap resnetv2_152d resnet50_clip resnet101_clip_gap resnet50t dla60 resnet18d skresnet34 resnet50c maskrcnn_resnet50_fpn_v2 ecaresnet101d resnet50_gn dla169 resnet152c
1 256 14 14 1024 1 1 0 0 0 0 1 1 1 1 1 0 0,866,resnetblur50 resnet50s tresnet_m resnest14d tresnet_v2_l vit_base_resnet50d_224 resnet200 seresnet50 resnest26d resnet101s seresnet50t skresnet50d resnetv2_50d_evos seresnet101 resnetv2_50t legacy_seresnet50 seresnetaa50d resnet50_clip_gap resnet152s resnetaa50d resnetv2_50d_gn resnet101 vit_small_resnet50d_s16_224 resnet26d maxvit_t resnetv2_152d legacy_seresnet101 resnet50_clip resnet152 resnetv2_101 resnet101_clip_gap seresnet152 resnetblur50d resnet50t resnet26 vit_base_resnet26d_224 resnetblur101d resnetaa101d resnet50d resnet101_clip resnetv2_101d resnet50c ecaresnet50d resnetv2_50d_frn vit_small_resnet26d_224 ecaresnet101d resnetv2_50d resnetv2_152 resnet101c maxvit_tiny_rw_224 resnest50d skresnet50 resnet50_gn resnetaa50 ecaresnetlight resnet50 resnetv2_50 legacy_seresnet152 resnet152c maxvit_tiny_tf_224
1 1024 14 14 256 1 1 0 0 0 0 1 1 1 1 1 0 0,821,resnetblur50 resnet50s efficientvit_l1 tresnet_m tresnet_v2_l vit_base_resnet50d_224 resnet200 seresnet50 resnest26d resnet101s seresnet50t skresnet50d resnetv2_50d_evos seresnet101 resnetv2_50t legacy_seresnet50 seresnetaa50d resnet50_clip_gap resnet152s resnetaa50d resnetv2_50d_gn resnet101 vit_small_resnet50d_s16_224 resnet26d resnetv2_152d resnet50_clip resnet152 resnetv2_101 resnet101_clip_gap seresnet152 hgnetv2_b5 resnetblur50d resnet50t resnet26 vit_base_resnet26d_224 efficientvit_b3 resnetblur101d resnetaa101d resnet50d resnet101_clip resnetv2_101d resnet50c ecaresnet50d resnetv2_50d_frn vit_small_resnet26d_224 ecaresnet101d resnetv2_50d resnetv2_152 resnet101c maxvit_tiny_rw_224 resnest50d skresnet50 resnet50_gn resnetaa50 efficientvit_l2 ecaresnetlight resnet50 resnetv2_50 legacy_seresnet152 resnet152c legacy_seresnet101
1 64 1 1 1024 1 1 0 0 0 0 1 1 1 1 1 0 1,649,seresnext101d_32x8d legacy_seresnext50_32x4d seresnext26d_32x4d seresnext101_64x4d maxvit_tiny_rw_256 maxvit_tiny_tf_512 seresnet50 maxvit_large_tf_384 seresnext101_32x4d maxvit_tiny_tf_224 seresnet50t maxvit_pico_rw_256 maxvit_large_tf_224 seresnextaa201d_32x8d seresnet101 seresnetaa50d legacy_seresnet50 maxvit_tiny_tf_384 regnetz_005 maxvit_tiny_pm_256 maxvit_t seresnext101_32x8d fastvit_sa12 maxvit_rmlp_nano_rw_256 seresnet152 seresnet152d maxvit_rmlp_tiny_rw_256 fastvit_sa36 fastvit_sa24 fastvit_t12 maxvit_nano_rw_256 seresnextaa101d_32x8d legacy_seresnext101_32x4d maxvit_rmlp_pico_rw_256 nf_seresnet50 maxvit_large_tf_512 seresnext26t_32x4d legacy_senet154 seresnet269d senet154 fastvit_mci1 legacy_seresnext26_32x4d maxvit_tiny_rw_224 coatnet_5_224 fastvit_mci0 seresnet200d nf_seresnet26 nf_seresnet101 fastvit_s12 coatnet_2_224 seresnext50_32x4d legacy_seresnet152 legacy_seresnet101
1 1024 1 1 64 1 1 0 0 0 0 1 1 1 1 1 0 1,649,seresnext101d_32x8d legacy_seresnext50_32x4d seresnext26d_32x4d seresnext101_64x4d maxvit_tiny_rw_256 maxvit_tiny_tf_512 seresnet50 maxvit_large_tf_384 seresnext101_32x4d maxvit_tiny_tf_224 seresnet50t maxvit_pico_rw_256 maxvit_large_tf_224 seresnextaa201d_32x8d seresnet101 seresnetaa50d legacy_seresnet50 maxvit_tiny_tf_384 regnetz_005 maxvit_tiny_pm_256 maxvit_t seresnext101_32x8d fastvit_sa12 maxvit_rmlp_nano_rw_256 seresnet152 seresnet152d maxvit_rmlp_tiny_rw_256 fastvit_sa36 fastvit_sa24 fastvit_t12 maxvit_nano_rw_256 seresnextaa101d_32x8d legacy_seresnext101_32x4d maxvit_rmlp_pico_rw_256 nf_seresnet50 maxvit_large_tf_512 seresnext26t_32x4d legacy_senet154 seresnet269d senet154 fastvit_mci1 legacy_seresnext26_32x4d maxvit_tiny_rw_224 coatnet_5_224 fastvit_mci0 seresnet200d nf_seresnet26 nf_seresnet101 fastvit_s12 coatnet_2_224 seresnext50_32x4d legacy_seresnet152 legacy_seresnet101
1 1536 1 1 768 1 1 0 0 0 0 1 1 1 1 1 0 1,576,nfnet_f4 dm_nfnet_f6 nfnet_f7 dm_nfnet_f2 nfnet_f0 dm_nfnet_f3 dm_nfnet_f1 dm_nfnet_f0 nfnet_f2 dm_nfnet_f4 dm_nfnet_f5 nfnet_f3 nfnet_f1 nfnet_f6 nfnet_f5
1 768 1 1 1536 1 1 0 0 0 0 1 1 1 1 1 0 1,576,nfnet_f4 dm_nfnet_f6 nfnet_f7 dm_nfnet_f2 nfnet_f0 dm_nfnet_f3 dm_nfnet_f1 dm_nfnet_f0 nfnet_f2 dm_nfnet_f4 dm_nfnet_f5 nfnet_f3 nfnet_f1 nfnet_f6 nfnet_f5
1 256 16 16 1024 1 1 0 0 0 0 1 1 1 1 1 0 0,549,bat_resnext26ts resnet101d resnext26ts eca_resnext26ts maxvit_tiny_rw_256 resnetrs270 regnetz_d8 eca_botnext26ts_256 regnetz_d32 botnet50ts_256 resnet50_mlp resnest101e maxvit_tiny_pm_256 maxvit_rmlp_nano_rw_256 lambda_resnet50ts seresnext26ts seresnet152d gcresnet50t gcresnext26ts maxvit_rmlp_tiny_rw_256 resnet152d regnetz_d8_evos maxvit_nano_rw_256 lamhalobotnet50ts_256 lambda_resnet26rpt_256 halo2botnet50ts_256 ecaresnet50t cspresnet50d resnetrs152 sebotnet33ts_256 seresnet269d resnet200d botnet26t_256 resnet26t ecaresnet200d lambda_resnet26t sehalonet33ts cspresnet50 eca_halonext26ts gcresnext50ts ecaresnet26t halonet26t seresnet200d halonet50ts resnetrs200
1 1024 16 16 256 1 1 0 0 0 0 1 1 1 1 1 0 0,504,bat_resnext26ts resnet101d resnext26ts eca_resnext26ts maxvit_tiny_rw_256 resnetrs270 regnetz_d8 eca_botnext26ts_256 regnetz_d32 botnet50ts_256 resnet50_mlp resnest101e maxvit_tiny_pm_256 maxvit_rmlp_nano_rw_256 lambda_resnet50ts seresnext26ts seresnet152d gcresnet50t gcresnext26ts maxvit_rmlp_tiny_rw_256 resnet152d regnetz_d8_evos maxvit_nano_rw_256 lamhalobotnet50ts_256 lambda_resnet26rpt_256 halo2botnet50ts_256 ecaresnet50t resnetrs152 sebotnet33ts_256 seresnet269d resnet200d botnet26t_256 resnet26t ecaresnet200d lambda_resnet26t sehalonet33ts eca_halonext26ts gcresnext50ts ecaresnet26t halonet26t seresnet200d halonet50ts resnetrs200
1 256 16 16 256 3 3 1 1 1 1 1 1 1 1 1 0 0,440,resnet101d resnetrs270 botnet50ts_256 resnet50_mlp cspdarknet53 lambda_resnet50ts seresnet152d gcresnet50t resnet152d lamhalobotnet50ts_256 halo2botnet50ts_256 ecaresnet50t cspresnet50d resnetrs152 sebotnet33ts_256 seresnet269d resnet200d resnet26t cs3darknet_focus_l cs3sedarknet_l ecaresnet200d sehalonet33ts cspresnet50 cs3darknet_l ecaresnet26t seresnet200d halonet50ts resnetrs200
