conv_parameters,occurrences,models
1 128 14 14 32 3 3 1 1 1 1 1 1 1 1 1 0 0,104,densenet121 densenet201 densenet169
1 1024 14 14 1024 1 1 0 0 0 0 1 1 1 1 1 0 0,93,resnext101_64x4d resnext50_32x4d wide_resnet50_2 resnext101_32x8d wide_resnet101_2
1 256 14 14 256 3 3 1 1 1 1 1 1 1 1 1 0 0,80,resnet34 resnet101 resnet18 resnet152 resnet50 maskrcnn_resnet50_fpn_v2
1 128 7 7 32 3 3 1 1 1 1 1 1 1 1 1 0 0,80,densenet121 densenet201 densenet169
1 256 14 14 1024 1 1 0 0 0 0 1 1 1 1 1 0 0,69,resnet152 resnet50 maxvit_t resnet101
1 1024 14 14 256 1 1 0 0 0 0 1 1 1 1 1 0 0,62,resnet152 resnet50 resnet101
1 256 65 65 1024 1 1 0 0 0 0 1 1 1 1 1 0 0,58,fcn_resnet101 deeplabv3_resnet101 deeplabv3_resnet50 fcn_resnet50
1 1024 65 65 256 1 1 0 0 0 0 1 1 1 1 1 0 0,54,fcn_resnet101 deeplabv3_resnet101 deeplabv3_resnet50 fcn_resnet50
1 256 65 65 256 3 3 2 2 2 2 1 1 2 2 1 0 0,54,fcn_resnet101 deeplabv3_resnet101 deeplabv3_resnet50 fcn_resnet50
1 256 50 50 256 3 3 1 1 1 1 1 1 1 1 1 0 0,50,keypointrcnn_resnet50_fpn fasterrcnn_resnet50_fpn_v2 retinanet_resnet50_fpn maskrcnn_resnet50_fpn fasterrcnn_resnet50_fpn fcos_resnet50_fpn retinanet_resnet50_fpn_v2 maskrcnn_resnet50_fpn_v2
1 256 50 50 1024 1 1 0 0 0 0 1 1 1 1 1 0 0,48,keypointrcnn_resnet50_fpn fasterrcnn_resnet50_fpn_v2 retinanet_resnet50_fpn maskrcnn_resnet50_fpn fasterrcnn_resnet50_fpn fcos_resnet50_fpn retinanet_resnet50_fpn_v2 maskrcnn_resnet50_fpn_v2
1 896 14 14 896 1 1 0 0 0 0 1 1 1 1 1 0 0,44,regnet_y_8gf regnet_x_16gf
1 1024 50 50 256 1 1 0 0 0 0 1 1 1 1 1 0 0,42,keypointrcnn_resnet50_fpn fasterrcnn_resnet50_fpn_v2 retinanet_resnet50_fpn maskrcnn_resnet50_fpn fasterrcnn_resnet50_fpn fcos_resnet50_fpn retinanet_resnet50_fpn_v2 maskrcnn_resnet50_fpn_v2
1 2304 1 1 96 1 1 0 0 0 0 1 1 1 1 1 0 1,39,efficientnet_b7 efficientnet_b3 efficientnet_v2_l
1 96 1 1 2304 1 1 0 0 0 0 1 1 1 1 1 0 1,39,efficientnet_b7 efficientnet_b3 efficientnet_v2_l
1 128 28 28 32 3 3 1 1 1 1 1 1 1 1 1 0 0,36,densenet121 densenet201 densenet169
1 1024 14 14 512 1 1 0 0 0 0 1 1 1 1 1 0 0,36,resnet101 resnext50_32x4d wide_resnet50_2 resnet152 resnet50 densenet121 wide_resnet101_2
1 192 14 14 48 3 3 1 1 1 1 1 1 1 1 1 0 0,36,densenet161
1 384 14 14 384 7 7 3 3 3 3 1 1 1 1 384 0 1,36,convnext_small convnext_tiny
1 512 14 14 1024 1 1 0 0 0 0 1 1 1 1 1 0 0,35,wide_resnet50_2 wide_resnet101_2 resnext50_32x4d
1 256 25 25 256 3 3 1 1 1 1 1 1 1 1 1 0 1,33,fasterrcnn_mobilenet_v3_large_fpn keypointrcnn_resnet50_fpn fasterrcnn_resnet50_fpn_v2 retinanet_resnet50_fpn maskrcnn_resnet50_fpn fasterrcnn_resnet50_fpn fcos_resnet50_fpn retinanet_resnet50_fpn_v2 maskrcnn_resnet50_fpn_v2
1 336 14 14 336 1 1 0 0 0 0 1 1 1 1 1 0 0,33,regnet_y_1_6gf
1 2904 24 24 2904 1 1 0 0 0 0 1 1 1 1 1 0 0,33,regnet_y_128gf
1 64 200 200 256 1 1 0 0 0 0 1 1 1 1 1 0 0,32,keypointrcnn_resnet50_fpn fasterrcnn_resnet50_fpn_v2 retinanet_resnet50_fpn maskrcnn_resnet50_fpn fasterrcnn_resnet50_fpn fcos_resnet50_fpn retinanet_resnet50_fpn_v2 maskrcnn_resnet50_fpn_v2
1 128 100 100 512 1 1 0 0 0 0 1 1 1 1 1 0 0,32,keypointrcnn_resnet50_fpn fasterrcnn_resnet50_fpn_v2 retinanet_resnet50_fpn maskrcnn_resnet50_fpn fasterrcnn_resnet50_fpn fcos_resnet50_fpn retinanet_resnet50_fpn_v2 maskrcnn_resnet50_fpn_v2
1 432 14 14 432 1 1 0 0 0 0 1 1 1 1 1 0 0,29,regnet_x_3_2gf
1 720 14 14 720 1 1 0 0 0 0 1 1 1 1 1 0 0,29,regnet_x_8gf
1 256 50 50 256 3 3 1 1 1 1 1 1 1 1 1 0 1,29,keypointrcnn_resnet50_fpn fasterrcnn_resnet50_fpn_v2 retinanet_resnet50_fpn maskrcnn_resnet50_fpn fasterrcnn_resnet50_fpn fcos_resnet50_fpn retinanet_resnet50_fpn_v2 maskrcnn_resnet50_fpn_v2
1 256 100 100 256 3 3 1 1 1 1 1 1 1 1 1 0 1,29,keypointrcnn_resnet50_fpn fasterrcnn_resnet50_fpn_v2 retinanet_resnet50_fpn maskrcnn_resnet50_fpn fasterrcnn_resnet50_fpn fcos_resnet50_fpn retinanet_resnet50_fpn_v2 maskrcnn_resnet50_fpn_v2
1 512 14 14 512 3 3 1 1 1 1 1 1 1 1 1 0 1,29,vgg13 vgg13_bn vgg11_bn vgg19_bn vgg11 keypointrcnn_resnet50_fpn vgg16_bn vgg16 vgg19
1 56 1 1 1344 1 1 0 0 0 0 1 1 1 1 1 0 1,29,efficientnet_b7 efficientnet_v2_l
1 1344 1 1 56 1 1 0 0 0 0 1 1 1 1 1 0 1,29,efficientnet_b7 efficientnet_v2_l
1 512 28 28 512 1 1 0 0 0 0 1 1 1 1 1 0 0,28,regnet_x_16gf resnext101_64x4d resnext50_32x4d wide_resnet50_2 resnext101_32x8d wide_resnet101_2
1 512 14 14 512 7 7 3 3 3 3 1 1 1 1 512 0 1,27,convnext_base
1 768 14 14 768 7 7 3 3 3 3 1 1 1 1 768 0 1,27,convnext_large
1 512 14 14 512 3 3 1 1 1 1 1 1 1 1 1 0 0,27,wide_resnet50_2 wide_resnet101_2
1 304 15 15 1824 1 1 0 0 0 0 1 1 1 1 1 0 0,27,efficientnet_v2_m efficientnet_b5
1 1824 1 1 76 1 1 0 0 0 0 1 1 1 1 1 0 1,27,efficientnet_v2_m efficientnet_b5
1 76 1 1 1824 1 1 0 0 0 0 1 1 1 1 1 0 1,27,efficientnet_v2_m efficientnet_b5
1 40 1 1 960 1 1 0 0 0 0 1 1 1 1 1 0 1,26,efficientnet_b7 efficientnet_b4 efficientnet_v2_m efficientnet_v2_s
1 960 1 1 40 1 1 0 0 0 0 1 1 1 1 1 0 1,26,efficientnet_b7 efficientnet_b4 efficientnet_v2_m efficientnet_v2_s
1 256 13 13 256 3 3 1 1 1 1 1 1 1 1 1 0 1,25,alexnet fasterrcnn_mobilenet_v3_large_fpn keypointrcnn_resnet50_fpn fasterrcnn_resnet50_fpn_v2 retinanet_resnet50_fpn maskrcnn_resnet50_fpn fasterrcnn_resnet50_fpn fcos_resnet50_fpn maskrcnn_resnet50_fpn_v2
1 2304 15 15 2304 3 3 1 1 1 1 1 1 1 1 2304 0 0,25,efficientnet_v2_l
1 384 15 15 2304 1 1 0 0 0 0 1 1 1 1 1 0 0,25,efficientnet_v2_l
1 1824 15 15 304 1 1 0 0 0 0 1 1 1 1 1 0 0,25,efficientnet_v2_m efficientnet_b5
1 1344 14 14 1344 1 1 0 0 0 0 1 1 1 1 1 0 0,25,regnet_x_32gf
1 576 14 14 576 1 1 0 0 0 0 1 1 1 1 1 0 0,25,regnet_y_3_2gf
1 512 100 100 128 1 1 0 0 0 0 1 1 1 1 1 0 0,24,keypointrcnn_resnet50_fpn fasterrcnn_resnet50_fpn_v2 retinanet_resnet50_fpn maskrcnn_resnet50_fpn fasterrcnn_resnet50_fpn fcos_resnet50_fpn retinanet_resnet50_fpn_v2 maskrcnn_resnet50_fpn_v2
1 128 100 100 128 3 3 1 1 1 1 1 1 1 1 1 0 0,24,keypointrcnn_resnet50_fpn fasterrcnn_resnet50_fpn_v2 retinanet_resnet50_fpn maskrcnn_resnet50_fpn fasterrcnn_resnet50_fpn fcos_resnet50_fpn retinanet_resnet50_fpn_v2 maskrcnn_resnet50_fpn_v2
1 64 200 200 64 3 3 1 1 1 1 1 1 1 1 1 0 0,24,keypointrcnn_resnet50_fpn fasterrcnn_resnet50_fpn_v2 retinanet_resnet50_fpn maskrcnn_resnet50_fpn fasterrcnn_resnet50_fpn fcos_resnet50_fpn retinanet_resnet50_fpn_v2 maskrcnn_resnet50_fpn_v2
1 192 7 7 48 3 3 1 1 1 1 1 1 1 1 1 0 0,24,densenet161
1 2304 15 15 384 1 1 0 0 0 0 1 1 1 1 1 0 0,24,efficientnet_v2_l
1 512 25 25 2048 1 1 0 0 0 0 1 1 1 1 1 0 0,24,keypointrcnn_resnet50_fpn fasterrcnn_resnet50_fpn_v2 retinanet_resnet50_fpn maskrcnn_resnet50_fpn fasterrcnn_resnet50_fpn fcos_resnet50_fpn retinanet_resnet50_fpn_v2 maskrcnn_resnet50_fpn_v2
1 400 7 7 400 1 1 0 0 0 0 1 1 1 1 1 0 0,23,regnet_x_400mf
1 128 28 28 128 3 3 1 1 1 1 1 1 1 1 1 0 0,23,resnet34 resnet18 resnet152 resnet50 resnet101
1 1392 14 14 1392 1 1 0 0 0 0 1 1 1 1 1 0 0,23,regnet_y_32gf
1 1024 14 14 1024 3 3 1 1 1 1 1 1 1 1 32 0 0,22,resnext101_32x8d
1 1024 14 14 1024 3 3 1 1 1 1 1 1 1 1 64 0 0,22,resnext101_64x4d
1 1232 14 14 1232 1 1 0 0 0 0 1 1 1 1 1 0 0,21,regnet_y_16gf
1 1056 1 1 44 1 1 0 0 0 0 1 1 1 1 1 0 1,21,efficientnet_v2_m efficientnet_b5
1 44 1 1 1056 1 1 0 0 0 0 1 1 1 1 1 0 1,21,efficientnet_v2_m efficientnet_b5
1 64 56 56 256 1 1 0 0 0 0 1 1 1 1 1 0 0,20,resnext101_64x4d resnext50_32x4d wide_resnet50_2 resnext101_32x8d resnet152 resnet50 maxvit_t resnet101 wide_resnet101_2
1 224 30 30 1344 1 1 0 0 0 0 1 1 1 1 1 0 0,19,efficientnet_v2_l
1 1824 15 15 1824 3 3 1 1 1 1 1 1 1 1 1824 0 0,19,efficientnet_v2_m efficientnet_b5
1 408 14 14 408 1 1 0 0 0 0 1 1 1 1 1 0 0,19,regnet_x_1_6gf
1 64 56 56 64 3 3 1 1 1 1 1 1 1 1 1 0 0,19,resnet34 resnet18 resnet152 resnet50 resnet101
1 1344 30 30 224 1 1 0 0 0 0 1 1 1 1 1 0 0,18,efficientnet_v2_l
1 1344 30 30 1344 3 3 1 1 1 1 1 1 1 1 1344 0 0,18,efficientnet_v2_l
1 128 56 56 32 3 3 1 1 1 1 1 1 1 1 1 0 0,18,densenet121 densenet201 densenet169
1 3 224 224 32 3 3 1 1 1 1 2 2 1 1 1 0 0,17,mobilenet_v2 regnet_x_32gf regnet_x_16gf regnet_x_3_2gf regnet_x_8gf regnet_y_16gf regnet_y_1_6gf regnet_x_800mf regnet_x_400mf regnet_y_32gf regnet_y_3_2gf regnet_y_800mf regnet_x_1_6gf regnet_y_8gf regnet_y_400mf efficientnet_b0 mnasnet1_0
1 128 28 28 512 1 1 0 0 0 0 1 1 1 1 1 0 0,17,resnet152 resnet50 maxvit_t resnet101
1 512 25 25 512 3 3 1 1 1 1 1 1 1 1 1 0 0,16,keypointrcnn_resnet50_fpn fasterrcnn_resnet50_fpn_v2 retinanet_resnet50_fpn maskrcnn_resnet50_fpn fasterrcnn_resnet50_fpn fcos_resnet50_fpn retinanet_resnet50_fpn_v2 maskrcnn_resnet50_fpn_v2
1 336 14 14 336 3 3 1 1 1 1 1 1 1 1 14 0 0,16,regnet_y_1_6gf
1 84 1 1 336 1 1 0 0 0 0 1 1 1 1 1 0 1,16,regnet_y_1_6gf
1 336 1 1 84 1 1 0 0 0 0 1 1 1 1 1 0 1,16,regnet_y_1_6gf
1 2904 1 1 726 1 1 0 0 0 0 1 1 1 1 1 0 1,16,regnet_y_128gf
1 2904 24 24 2904 3 3 1 1 1 1 1 1 1 1 11 0 0,16,regnet_y_128gf
1 48 14 14 48 1 1 0 0 0 0 1 1 1 1 1 0 0,16,shufflenet_v2_x0_5
1 726 1 1 2904 1 1 0 0 0 0 1 1 1 1 1 0 1,16,regnet_y_128gf
1 64 130 130 256 1 1 0 0 0 0 1 1 1 1 1 0 0,16,fcn_resnet101 deeplabv3_resnet101 deeplabv3_resnet50 fcn_resnet50
1 256 56 56 256 1 1 0 0 0 0 1 1 1 1 1 0 0,16,regnet_x_16gf resnext101_64x4d resnext50_32x4d wide_resnet50_2 resnext101_32x8d wide_resnet101_2
1 128 65 65 512 1 1 0 0 0 0 1 1 1 1 1 0 0,16,fcn_resnet101 deeplabv3_resnet101 deeplabv3_resnet50 fcn_resnet50
1 244 14 14 244 1 1 0 0 0 0 1 1 1 1 1 0 0,16,shufflenet_v2_x2_0
1 116 14 14 116 1 1 0 0 0 0 1 1 1 1 1 0 0,16,shufflenet_v2_x1_0
1 176 14 14 176 1 1 0 0 0 0 1 1 1 1 1 0 0,16,shufflenet_v2_x1_5
1 10 1 1 240 1 1 0 0 0 0 1 1 1 1 1 0 1,16,efficientnet_b6 efficientnet_b1 efficientnet_b0 efficientnet_b5
1 240 1 1 10 1 1 0 0 0 0 1 1 1 1 1 0 1,16,efficientnet_b6 efficientnet_b1 efficientnet_b0 efficientnet_b5
