conv_parameters,occurrences
1 64 56 56 64 3 3 1 1 1 1 1 1 1 1 1 0 0,374
1 18 56 56 18 3 3 1 1 1 1 1 1 1 1 1 0 0,152
1 36 28 28 36 3 3 1 1 1 1 1 1 1 1 1 0 0,152
1 48 56 56 48 3 3 1 1 1 1 1 1 1 1 1 0 0,139
1 72 14 14 72 3 3 1 1 1 1 1 1 1 1 1 0 0,132
1 64 64 64 64 3 3 1 1 1 1 1 1 1 1 1 0 0,101
1 32 56 56 32 3 3 1 1 1 1 1 1 1 1 1 0 0,89
1 64 28 28 64 3 3 1 1 1 1 1 1 1 1 1 0 0,82
1 26 56 56 26 3 3 1 1 1 1 1 1 1 1 1 0 0,72
1 52 28 28 52 3 3 1 1 1 1 1 1 1 1 1 0 0,72
1 32 112 112 64 3 3 1 1 1 1 1 1 1 1 1 0 0,68
1 80 28 28 80 3 3 1 1 1 1 1 1 1 1 1 0 0,66
1 60 28 28 60 3 3 1 1 1 1 1 1 1 1 1 0 0,64
1 44 56 56 44 3 3 1 1 1 1 1 1 1 1 1 0 0,64
1 30 56 56 30 3 3 1 1 1 1 1 1 1 1 1 0 0,64
1 40 56 56 40 3 3 1 1 1 1 1 1 1 1 1 0 0,64
1 32 128 128 64 3 3 1 1 1 1 1 1 1 1 1 0 0,50
1 32 112 112 32 3 3 1 1 1 1 1 1 1 1 1 0 0,49
1 56 14 14 56 3 3 1 1 1 1 1 1 1 1 1 0 0,35
1 24 128 128 32 3 3 1 1 1 1 1 1 1 1 1 0 0,33
1 64 96 96 256 3 3 1 1 1 1 1 1 1 1 1 0 0,26
1 64 112 112 64 3 3 1 1 1 1 1 1 1 1 1 0 0,26
1 160 17 17 192 7 1 0 0 3 3 1 1 1 1 1 0 0,24
1 28 28 28 28 3 3 1 1 1 1 1 1 1 1 1 0 0,21
1 14 56 56 14 3 3 1 1 1 1 1 1 1 1 1 0 0,21
1 128 17 17 160 1 7 3 3 0 0 1 1 1 1 1 0 0,20
1 64 56 56 32 3 3 1 1 1 1 1 1 1 1 1 0 0,20
1 32 28 28 32 3 3 1 1 1 1 1 1 1 1 1 0 0,17
1 64 35 35 96 3 3 1 1 1 1 1 1 1 1 1 0 0,17
1 3 224 224 64 3 3 1 1 1 1 1 1 1 1 1 0 1,16
1 32 192 192 32 3 3 1 1 1 1 1 1 1 1 1 0 0,16
1 64 112 112 128 3 3 1 1 1 1 1 1 1 1 1 0 1,16
1 16 56 56 16 3 3 1 1 1 1 1 1 1 1 1 0 0,15
1 192 17 17 192 7 1 0 0 3 3 1 1 1 1 1 0 0,15
1 192 17 17 224 1 7 3 3 0 0 1 1 1 1 1 0 0,14
1 32 128 128 32 3 3 1 1 1 1 1 1 1 1 1 0 0,13
1 64 224 224 64 3 3 1 1 1 1 1 1 1 1 1 0 1,12
1 16 224 224 16 3 3 1 1 1 1 1 1 1 1 1 0 0,12
1 64 130 130 64 3 3 1 1 1 1 1 1 1 1 1 0 0,12
1 3 224 224 16 7 7 3 3 3 3 1 1 1 1 1 0 0,12
1 64 14 14 64 3 3 1 1 1 1 1 1 1 1 1 0 0,11
1 32 56 56 64 3 3 1 1 1 1 1 1 1 1 1 0 0,11
1 192 8 8 224 1 3 1 1 0 0 1 1 1 1 1 0 0,10
1 64 32 32 64 3 3 1 1 1 1 1 1 1 1 1 0 0,10
1 64 28 28 128 3 3 1 1 1 1 1 1 1 1 1 0 0,10
